SampleDate,SampleMonth,SampleLocation,CalciumConc_mgL
10/1/1947 0:00,10.00,USGS-09382000,66
10/15/1947 0:00,10.00,USGS-09382000,132
1/1/1948 0:00,1.00,USGS-09382000,130
1/15/1948 0:00,1.00,USGS-09382000,98
5/1/1948 0:00,5.00,USGS-09382000,82
5/15/1948 0:00,5.00,USGS-09382000,53
6/1/1948 0:00,6.00,USGS-09382000,142
9/1/1948 0:00,9.00,USGS-09382000,107
9/15/1948 0:00,9.00,USGS-09382000,59
10/1/1948 0:00,10.00,USGS-09382000,106
10/15/1948 0:00,10.00,USGS-09382000,102
1/3/1949 0:00,1.00,USGS-09382000,168
1/15/1949 0:00,1.00,USGS-09382000,112
5/1/1949 0:00,5.00,USGS-09382000,78
5/15/1949 0:00,5.00,USGS-09382000,59
6/1/1949 0:00,6.00,USGS-09382000,50
6/15/1949 0:00,6.00,USGS-09382000,161
9/1/1949 0:00,9.00,USGS-09382000,82
9/15/1949 0:00,9.00,USGS-09382000,376
10/1/1949 0:00,10.00,USGS-09382000,210
10/15/1949 0:00,10.00,USGS-09382000,131
1/1/1950 0:00,1.00,USGS-09382000,132
10/1/1941 0:00,10.00,USGS-09402500,102
10/12/1941 0:00,10.00,USGS-09402500,132
10/21/1941 0:00,10.00,USGS-09402500,119
9/18/1943 0:00,9.00,USGS-09402500,110
10/1/1943 0:00,10.00,USGS-09402500,138
10/11/1943 0:00,10.00,USGS-09402500,140
10/21/1943 0:00,10.00,USGS-09402500,156
1/1/1944 0:00,1.00,USGS-09402500,116
1/11/1944 0:00,1.00,USGS-09402500,126
1/21/1944 0:00,1.00,USGS-09402500,133
5/1/1944 0:00,5.00,USGS-09402500,84
5/13/1944 0:00,5.00,USGS-09402500,66
5/21/1944 0:00,5.00,USGS-09402500,57
6/1/1944 0:00,6.00,USGS-09402500,58
6/11/1944 0:00,6.00,USGS-09402500,57
6/21/1944 0:00,6.00,USGS-09402500,57
9/1/1944 0:00,9.00,USGS-09402500,134
9/11/1944 0:00,9.00,USGS-09402500,122
9/21/1944 0:00,9.00,USGS-09402500,122
10/1/1944 0:00,10.00,USGS-09402500,150
10/11/1944 0:00,10.00,USGS-09402500,149
10/21/1944 0:00,10.00,USGS-09402500,130
1/1/1945 0:00,1.00,USGS-09402500,126
1/11/1945 0:00,1.00,USGS-09402500,119
1/21/1945 0:00,1.00,USGS-09402500,117
6/1/1945 0:00,6.00,USGS-09402500,63
6/11/1945 0:00,6.00,USGS-09402500,70
