like,pardischarge,parthickness,parporosity,parage,pardelT,parflux,simulation0,chain
-430843.539255,33713.6832243,2396.32610718,0.0568962626755,10771.7994901,7.68580291718,116.120992848,430843.539255,1
-430843.539255,33713.6832243,2396.32610718,0.0568962626755,10771.7994901,7.68580291718,116.120992848,430843.539255,1
-22089.4301184,27194.8637959,516.437244567,0.112876241808,9311.34456433,12.7055563949,79.1863195305,22089.4301184,1
-2284252.43514,23314.5995581,7038.48461667,0.199187962943,12072.5595273,12.7599176272,119.783849101,2284252.43514,1
-3268505.38252,34471.476257,5828.7471973,0.125865205824,12980.641703,10.2494445574,91.1498698292,3268505.38252,1
-1448866.34263,20315.2160178,1212.95955096,0.0888953959618,15170.2223632,5.7115466302,82.3801806156,1448866.34263,1
-3682084.26594,33475.6991367,756.182282525,0.0776532756611,14311.2925685,6.36260955685,47.6062996781,3682084.26594,1
-1159496.69053,29658.2464761,6623.80781222,0.0996823660104,12121.6508459,7.16535901871,124.787663111,1159496.69053,1
-125812.300303,23141.6093294,3997.73420821,0.122210012048,14770.4838803,4.21563982581,118.25586479,125812.300303,1
-2362619.1429,25682.0989311,7269.04940838,0.156014920196,14689.3786776,15.5859407106,148.597910424,2362619.1429,1
-5281741.4927,27995.6326775,5468.83266923,0.12952070927,15276.1863829,11.7620966748,55.98123426,5281741.4927,1
-2243348.29323,26804.7133928,1495.60307313,0.0272969383422,10312.6748999,7.18263823407,42.5475632159,2243348.29323,1
-706655.94848,21440.1249586,7314.741766,0.068594270534,13756.1273024,9.29798541373,154.091016281,706655.94848,1
-258104.902836,29393.8506343,3925.89125249,0.0618464621894,10987.4978836,7.53022395081,139.44229284,258104.902836,1
-293331.751134,27977.5572052,6450.84554798,0.0284735791798,15759.4481315,10.743251298,142.727910014,293331.751134,1
-2311040.66366,30522.8684058,4275.3950788,0.185455939104,15783.8921595,5.95775920039,62.3416541454,2311040.66366,1
-424720.891034,33237.6026421,3821.8185261,0.0811518334505,13053.7500109,5.8074878551,105.90768439,424720.891034,1
-1673077.54273,31784.0199327,6172.14404287,0.128909166732,8151.96249719,6.09182435722,96.9291101725,1673077.54273,1
-1552465.18164,20674.3866048,3827.60459845,0.0634160905366,9308.04630164,8.66585375379,76.4369469839,1552465.18164,1
-1866062.8227,32386.1822634,6662.83643762,0.109204459144,13188.2483697,3.76941434628,49.7936986718,1866062.8227,1
-977431.875027,26557.9700277,2016.75166531,0.126315561027,15880.1503675,6.90044815208,69.6429655942,977431.875027,1
-3658450.1307,26594.0538669,4279.41006867,0.142914290956,9182.71336373,17.4445017366,114.395719273,3658450.1307,1
-2282158.3952,33173.8281318,6862.69893592,0.153532110832,8160.74817912,4.55289190965,59.5189234194,2282158.3952,1
-5520112.13779,30756.3956547,2485.94879906,0.18677600865,11907.8565716,11.0170701896,53.7403021991,5520112.13779,1
-5104291.19628,22441.4964751,6578.60644731,0.130144171409,7899.84218611,10.1481103602,42.9025407064,5104291.19628,1
-5004086.69775,21455.5121159,7154.25771675,0.129664783416,9373.11894613,11.7926590245,48.4907547457,5004086.69775,1
-3051297.34759,33800.2420713,2162.91017894,0.0827292857017,8710.00771679,14.581974166,105.004042902,3051297.34759,1
-611167.758014,22510.8081332,7874.82354359,0.0681092166739,9980.27210444,3.81114633881,83.3378234862,611167.758014,1
