like,pardischarge,parthickness,parporosity,parage,pardelT,parflux,simulation0,chain
-4.3806975971e+14,34137.7678812,5742.14851698,0.122144876086,9699.61585147,10.3530510247,103.038311386,2959965.40422,1
-138237341993.0,20321.9843941,5346.86589496,0.0385098813752,16491.7393891,4.5375511237,58.5786789272,52580.8600143,1
-2.82056667121e+16,28065.1852096,530.713544432,0.0278896279982,14507.14548,6.88959492254,51.5072356175,23751070.1704,1
-1.44905124852e+14,31863.6344429,876.546324575,0.199446650603,15941.7869992,13.0468776369,90.2705427985,1702381.41938,1
-1.78158695512e+15,27563.6956785,7695.12958761,0.150456686094,13644.3487102,15.248875269,66.8183093771,5969232.70634,1
-1.04332247866e+15,20909.6542434,4277.99724404,0.188876595209,15898.7365477,16.4527595409,69.1289078456,4567980.90771,1
-6.62104763749e+13,33058.1367996,2590.28466015,0.129351711943,11805.6307698,6.56741140626,93.8151805768,1150743.03278,1
-4.59446140693e+13,30204.5806596,5131.24421468,0.106725329152,13442.5399863,6.96449875697,123.81216458,958588.692498,1
-1.42411046676e+14,31751.5662352,5018.40966166,0.197172199223,14024.061979,7.64724810849,113.652440493,1687667.30534,1
-3.17245007027e+14,29385.4206928,7775.52784248,0.152827793223,16182.513995,9.81466575955,98.858297448,2518908.52167,1
-1.52799355419e+16,31385.4256497,620.888655631,0.0278815286427,14897.6694355,14.3838859492,47.4078385123,17481381.8344,1
-1.15534860975e+14,24965.349043,7379.39074984,0.146464931408,15421.7949508,10.6082283065,141.229598514,1520097.76643,1
-1.77492484025e+15,25799.0811821,3239.22601777,0.17960579263,11672.4035706,17.3669228716,69.2299340656,5958061.49725,1
-6.5785117113e+13,20337.7355371,5466.56930339,0.17021228696,15856.7122495,6.4170908811,87.4280108,1147040.68902,1
-1.0798239346e+14,32600.3977971,5507.79300227,0.0168905782862,13902.1953506,10.1270184658,97.0958266009,1469574.04346,1
-1.56110029856e+16,33235.0517044,868.523345299,0.0276603321076,14748.886275,7.3451757921,89.3308805787,17669749.8486,1
-1.05380455342e+15,33474.1702805,3154.18580814,0.0672060559341,8757.84837658,15.0963677722,84.6409609744,4590870.40422,1
-2.35218391253e+14,32908.7900078,1516.42099623,0.0903378797172,15923.5398126,7.62184797102,151.52405484,2168955.46867,1
-5.99428808247e+13,26260.1936155,4457.31812398,0.101139544209,10305.8181083,9.23586774518,143.150909328,1094923.56651,1
-53970220963.4,24979.3467054,1144.68738179,0.0613404533667,11738.8190628,8.79775547025,53.07172274,32854.2907282,1
-1.05086942484e+14,21034.7016594,2108.15752027,0.164162593871,14328.0049415,12.6450331928,114.685752256,1449737.51061,1
-5.72112255059e+14,22463.2021076,4361.38634681,0.176574332565,10464.6210152,7.49062273491,45.6524884833,3382638.77782,1
-1.01599583843e+14,23239.4769386,3422.63443025,0.160208505239,10571.9204535,9.13326896167,113.355310753,1425479.45508,1
-3.15182086795e+13,23735.8428468,3286.42637189,0.0362494252486,10365.0959228,6.09880096561,113.942647319,793954.767975,1
-5.61116253867e+13,22078.7692611,7081.86865352,0.142771883741,14934.6684826,4.27575697383,68.1773807469,1059354.76009,1
-7.33394598637e+12,25779.8323074,1064.54902543,0.085316302963,10937.399808,14.132828298,104.530719716,382986.840149,1
-1.34639920747e+15,24309.3647439,3689.42123252,0.109132716988,8289.90774088,15.0307626964,64.2561924453,5189218.06725,1
-5.24880864665e+14,32540.5035354,3914.75317731,0.194198649014,12839.5699051,12.7565810041,109.602331081,3240002.66872,1
-1.09860113136e+15,29346.3309275,7239.94819369,0.0659782987968,15766.5646464,8.90154861823,46.2122844488,4687432.41308,1
-3.50323796633e+14,31388.5684572,3307.92572383,0.192284900349,9787.62263197,12.3464552086,123.886640895,2646974.86438,1
-1.04297632575e+13,28154.6881095,1951.63321231,0.0618230265468,15440.7187115,11.073336258,99.1465224379,456722.306384,1
-1.11758112004e+13,31021.5066968,6966.71532329,0.145664699396,14945.0827712,4.24855115156,141.855118919,472775.02473,1
-3.18947460139e+14,26609.8080507,3158.82455849,0.0796390613979,14964.3851882,11.4783039284,74.3846612571,2525658.17219,1
-3.98334305465e+15,33108.0639989,5093.86951827,0.184574161867,12923.7992156,16.6818356203,58.910502109,8925629.4508,1
-5.2036086066e+15,34369.1899511,3668.10038338,0.120064307047,15219.7165498,15.6475243568,47.2464255625,10201576.9434,1
-5.27146102706e+14,27859.0601664,6170.80373236,0.0828152477955,13563.3949501,10.0862703193,70.5291511495,3246986.61132,1
-1.68899102915e+13,23570.334313,1420.17386856,0.143050297083,9308.87778013,9.4551209372,134.231857037,581204.099976,1
-3.92616642657e+13,26426.0360942,7505.7339509,0.0512752311903,13535.6139449,9.05437309281,131.866459164,886133.898073,1
-1.4243318469e+13,26659.5574587,7573.94719283,0.0260317700441,12242.7088774,6.31909993546,150.276799518,533728.741385,1
-2.80096616512e+13,23697.7411761,6782.68297138,0.188910463409,12306.4769543,5.41021510979,131.429787596,748460.575464,1
-9.5654620893e+14,22527.9821333,3589.32976482,0.0146454656895,13354.9752478,7.59721809226,126.903946644,4373891.19419,1
-1.41610350788e+14,25940.5989494,2638.82018425,0.153780948849,8326.14464062,6.63169726465,77.7053606672,1682916.22363,1
-1.08843230889e+15,32639.0540549,6146.84368099,0.197796742251,16020.2914465,14.1005630582,90.3684956896,4665688.17838,1
-1.97834957599e+14,21465.9907525,1461.60198705,0.0495590244779,13617.3771904,12.486330351,131.058741655,1989145.33204,1
-1.02741884406e+14,24697.9617798,5240.23133547,0.0370969484386,14187.5231978,9.11915740856,69.6403271079,1433470.5048,1
-1.01889675897e+15,24373.1914535,2763.69935564,0.134562000075,11397.2742495,17.4345816691,80.8154255413,4514192.6387,1
-546852723797.0,29169.2838022,6831.80591939,0.0213531810975,9262.0237544,9.8292216598,146.624272419,104580.373283,1
-1.74690706312e+13,33705.5017014,5775.94432322,0.0273971830593,8311.78454331,10.3673746265,148.060758199,591084.945354,1
-1.55353845388e+15,24416.0978977,7306.19549641,0.175841726096,10351.5323969,14.8125750505,62.7074401084,5574115.99068,1
-2.16824933603e+14,30363.890424,3603.69431195,0.163221017238,14816.0957261,9.28342349263,99.0581171709,2082426.15045,1
-304927314.143,24136.4935764,2880.1814101,0.164923874211,15760.7277252,4.53973126213,137.325177593,2469.52348935,1
-118719463490.0,29954.6530464,1951.62509955,0.0677320054452,15254.8087225,11.7807677979,100.723250806,48727.7053614,1
-1.14968932469e+15,33767.985438,4292.04148926,0.112595794174,14112.1680268,9.99271601221,58.4006179342,4795183.67675,1
-7.65587873947e+13,27659.53331,3294.97139674,0.163242535412,14522.5124888,7.74732296238,108.059314058,1237406.86433,1
-2.34353222606e+14,25912.2760338,1628.17193108,0.190177857659,10107.4592216,17.4906292187,150.619272988,2164962.92165,1
-1.39584294741e+15,29524.5291286,7327.58544415,0.0673925050179,10539.9881672,15.9948927028,79.9004612385,5283640.69068,1
-3.85645474213e+13,27516.1920745,5955.54696714,0.11097118461,15003.4703351,8.16605297655,149.596904326,878231.716819,1
-4.2825820094e+14,30458.5112195,7497.29102396,0.035851979933,9163.955797,11.0574035818,84.9893476957,2926630.14725,1
-9.57546685096e+13,23546.0386413,5232.60004501,0.172828719668,8712.39894235,10.4086839664,152.246695374,1383868.98592,1
-4.28406317754e+15,27529.2021012,521.020019213,0.0584421238644,14897.9867556,10.2261643203,66.8639703685,9256417.42526,1
-3.75236933652e+14,27966.4362494,6068.6623184,0.165180524935,9402.75537912,14.9813747986,139.655551919,2739477.81028,1
-9.37661523788e+12,33588.3767719,3840.88692888,0.0667298976882,14980.5620555,4.96026882994,69.5685978364,433050.002607,1
-9.88119982873e+14,29000.7101619,6248.68904792,0.111650538249,9233.15865277,12.5206272362,75.2319896219,4445492.06022,1
-3.81909464575e+13,25003.7635887,2227.93701593,0.166521310219,15062.1062306,8.09043266809,107.146059139,873967.350162,1
-1.88569605944e+15,34176.4261893,2090.78585716,0.19841853347,13905.1859961,12.8972975432,60.5264952966,6141166.10985,1
-9.50658041046e+13,26983.814362,2545.67003603,0.0927804317294,11234.4493657,7.98003640178,80.9261880397,1378882.18572,1
-2.85211858024e+13,33566.4539339,4451.89379673,0.04690793014,10559.7125396,8.86566559907,121.406695879,755264.004205,1
-5.37256175804e+14,26383.7995114,3596.44287559,0.0811485837042,8639.50148607,11.9650210523,77.8183452234,3277975.52097,1
-728048871902.0,25510.2474681,3084.61260189,0.063931848191,11238.858171,6.17990396658,100.184547446,120668.875183,1
-2.72497720871e+13,20024.866063,5847.70278485,0.143740143675,12778.560996,6.09796687309,117.181761677,738238.065764,1
-5.92924006189e+14,25264.4561119,1739.04602121,0.023013872527,9183.91537596,10.2501122924,110.081412815,3443614.39824,1
-1.04953333239e+15,22212.0151504,4061.99929011,0.126429581071,11138.763242,12.0259197793,52.7864217298,4581557.22956,1
-1.59807251106e+15,21601.75327,617.604673533,0.0681714080102,16245.3771117,9.9183069898,79.9448526662,5653445.87144,1
-6.32717256404e+14,20267.4117045,3995.37334874,0.0142668706802,13526.1273921,6.81488101683,110.379243162,3557294.63611,1
-2.44097840026e+15,24073.5263111,2097.63396955,0.0153634689391,13488.8851858,8.74434578942,68.1846683708,6987100.11416,1
-1.20597790094e+14,31554.7476251,1637.01893524,0.0913374481306,16435.0419352,12.3564426729,77.6923562313,1553047.26325,1
-4.84176614505e+14,25092.8828421,3503.48853762,0.0573862387008,9641.18983641,15.9687654225,92.9135882743,3111837.44596,1
