like,pardischarge,parthickness,parporosity,parage,pardelT,parflux,simulation0,chain
-509927.261551,25291.2170962,6944.05058213,0.0382073603193,7813.83619351,5.27279661578,106.339006519,509927.261551,1
-541099.784719,33034.3361861,4140.70338433,0.0666323760569,13645.7554621,6.07642140831,92.3468757761,541099.784719,1
-23704.9697038,20969.2421457,1939.11536287,0.177907197625,14034.5812665,4.9320063761,124.770498597,23704.9697038,1
-5337059.30592,24543.4501167,6794.34940593,0.0681976518822,13466.1174489,13.7096802322,55.6461041048,5337059.30592,1
-901756.141602,26016.2153896,3688.57467685,0.152131112213,8972.0970796,7.38833314892,145.954414835,901756.141602,1
-6681685.59234,31863.5645372,2781.87650654,0.0124942098038,8953.22702816,4.55151164152,95.0849118833,6681685.59234,1
-65316.0859357,31913.7852224,3428.81285087,0.0830064155947,11271.6611004,5.36580124019,142.954591764,65316.0859357,1
-2738449.31763,26497.5809732,4566.87257846,0.0870385075256,11429.5845925,13.1788887292,99.8213515217,2738449.31763,1
-2334681.67154,26080.4248357,749.416355398,0.132285361882,16304.6290931,9.82074312323,131.111097246,2334681.67154,1
-2589270.95076,25042.4298653,3231.07021963,0.0102654051931,8669.1819482,16.9877536231,107.597056431,2589270.95076,1
-27591.758946,24337.3164159,1141.29597402,0.118107582457,12618.3308513,3.95695296347,42.8132837285,27591.758946,1
-1603169.53693,22389.3831812,6149.25550395,0.0242179770132,16320.8887755,5.07531052087,133.676408307,1603169.53693,1
-2845131.34412,23632.0822421,7496.26965839,0.0794162826751,9854.39937445,13.8146274395,100.935146026,2845131.34412,1
-2705947.01117,28300.27854,5497.26778729,0.073993191073,9829.05148754,12.4481833205,103.985805404,2705947.01117,1
-3536197.19221,32934.692806,6718.40413917,0.0809967736026,8599.71410366,15.2612242011,123.972171406,3536197.19221,1
-109997.129689,25952.8488373,3989.24777434,0.0423347809079,13998.3832142,5.77456381555,73.4642794352,109997.129689,1
-6685889.9945,32717.7557754,4711.56536792,0.0816671437955,14017.2576361,15.2596586816,63.4127294307,6685889.9945,1
-2698381.16448,30857.8944152,4575.77599749,0.196203738094,10021.2876825,15.1561558246,153.790702804,2698381.16448,1
-2878782.55509,34202.0265647,5151.62314108,0.0954130448692,12866.3325284,13.6403662371,123.686240083,2878782.55509,1
-3363921.91144,23511.2442794,6209.24844463,0.16091351501,15213.7784615,14.7658863156,93.3296621707,3363921.91144,1
-4310290.41247,29790.1326082,6178.58587839,0.0838979385857,15758.1150827,15.4119565899,88.0751529393,4310290.41247,1
-1364725.75716,32876.8103203,7249.25235463,0.0183137464615,15926.7551803,6.49250088937,82.8020405434,1364725.75716,1
-5318900.45595,28899.6091052,7842.88508628,0.189667978552,13706.8758784,11.3148985142,58.5808955925,5318900.45595,1
-858145.316768,26938.1542008,5547.179982,0.0300271430523,12657.3458134,12.732024499,118.125752507,858145.316768,1
-9341180.87966,33932.3276525,4696.94052882,0.187288442642,10749.1441837,16.7469258313,58.2823397813,9341180.87966,1
-7950598.47034,29307.9933818,6134.62797312,0.159580820292,7746.79281437,16.3611689666,58.6360937064,7950598.47034,1
-515844.265953,29602.8936527,5381.63759477,0.0910165325333,11899.2068826,4.47752846828,107.389149404,515844.265953,1
-1394811.15016,25837.1936311,2033.71517048,0.195089390094,15204.7235661,11.3116725171,122.614791648,1394811.15016,1
-3790282.56834,27404.5682928,7403.9657435,0.171120066118,15508.7374925,16.1624467863,107.41875758,3790282.56834,1
-2144748.89279,24599.7147602,3945.22011357,0.123478371674,13895.6313255,17.6065974933,152.249209881,2144748.89279,1
-502419.326674,30272.3491995,4572.43552274,0.149469692555,14585.3964888,3.92065628436,103.404284764,502419.326674,1
-2242711.43632,28400.3831888,4979.06677724,0.173135268296,11239.6992378,10.8549636687,118.049479795,2242711.43632,1
-1762092.80779,27998.7890554,4903.39552017,0.0624507118199,14899.0697417,14.3821047626,128.958948844,1762092.80779,1
-7317327.37292,30219.4067756,7056.38243568,0.132686983063,7734.47794462,15.8205832506,63.2176651759,7317327.37292,1
-2577888.80504,25713.9960359,4482.3090998,0.15754315859,10667.2222407,11.3701262682,98.6206317575,2577888.80504,1
-390448.54228,31078.1161818,6602.74806096,0.0588069932012,13922.9155954,7.16556903545,148.071530732,390448.54228,1
-5565651.66736,34228.7539839,3934.7571392,0.145550421232,10675.6233496,15.1324713223,83.5414219925,5565651.66736,1
