like,pardischarge,parthickness,parporosity,parage,pardelT,parflux,simulation0,chain
-2162302.01809,34429.1001682,4693.67273974,0.1424229856,7705.56704603,10.9506226643,147.407076082,-2162302.01809,1
-2162302.01809,34429.1001682,4693.67273974,0.1424229856,7705.56704603,10.9506226643,147.407076082,-2162302.01809,1
-1012455.76215,33780.2843277,4738.32958809,0.024999465852,15581.4624464,11.954582907,74.0604579467,-1012455.76215,1
-2782172.09922,29032.7055679,4375.65722127,0.197049042047,10526.6989716,15.0079355201,138.994334582,-2782172.09922,1
-2492716.13323,29354.9045225,7596.12029472,0.113820425774,14702.2463362,10.7039909806,105.082969945,-2492716.13323,1
-800204.202552,20228.3691141,4171.55267951,0.119292576201,14682.6127011,6.73138398571,97.5233921107,-800204.202552,1
-3990318.40763,27714.6433121,4833.17981877,0.134424499778,13276.127745,16.3493516695,99.498371822,-3990318.40763,1
-3773522.82522,26143.5117805,846.712683337,0.174163426142,14790.4655562,16.7910522383,68.6766649178,-3773522.82522,1
-1210810.64759,28162.8000731,7168.25113654,0.104347178424,13308.5831685,7.36792684397,121.281567914,-1210810.64759,1
-1784919.82981,34056.3141667,7561.02068922,0.171414426908,16146.0116597,8.29408267005,127.934003127,-1784919.82981,1
-3524486.68304,23939.4655619,7214.4079678,0.0822535194176,12629.1945348,11.7993993098,70.0636398781,-3524486.68304,1
-2347258.95535,24485.4801573,757.025472322,0.123128247573,16185.5419538,10.6756009632,137.332633771,2347258.95535,1
-1882270.25099,26282.915667,4612.43381986,0.177475097138,13862.5310842,12.5307604366,141.592048146,-1882270.25099,1
-3834231.34584,34649.9501987,6322.14744611,0.173079051668,15961.0258222,6.06811395601,48.4789184271,-3834231.34584,1
-670527.469102,30683.9547896,1652.06750573,0.189676274918,12871.1128308,4.47488807804,71.1530289664,-670527.469102,1
-1243428.58992,34236.5146369,663.207360841,0.159932831119,12298.4467439,11.9252549977,149.846572347,1243428.58992,1
-1555408.45929,31208.5898092,1299.56239036,0.1084672524,8773.90188516,17.0016268037,151.775684771,-1555408.45929,1
-7218969.87312,23217.4115411,1902.12553586,0.0197921022219,13434.1882808,5.69797127048,124.166274728,7218969.87312,1
-5561850.96752,24464.1099694,7399.27796196,0.0642461720927,13957.1879489,15.6606821573,61.0412440999,-5561850.96752,1
-1335865.31445,26254.3730754,2228.35790371,0.199380361537,9725.73529667,9.34565080872,128.497969022,-1335865.31445,1
-205514.34333,27939.1539684,2796.14987388,0.0552680008952,9265.47153327,7.02221206243,104.383987758,-205514.34333,1
-1459744.07224,22534.4127838,3233.00621012,0.10121762172,12115.8548259,13.8521524333,136.14690929,-1459744.07224,1
-948024.700703,31979.8383997,3341.55179769,0.121303915895,15125.2764818,9.88688899908,147.741046585,-948024.700703,1
-1018660.75789,30670.0548903,5488.16850461,0.127813115944,8853.23204526,6.92470184379,151.167525362,-1018660.75789,1
-2425852.55501,21180.0394762,4247.70266917,0.130732624108,9597.76593385,12.2748606493,93.1734764193,-2425852.55501,1
-273396.765478,22590.9266143,3025.20199091,0.0968227882463,11980.0428661,4.29819842158,149.33867003,273396.765478,1
-44863.6567867,28408.901222,2428.83854739,0.128816422949,13314.2959589,5.35143619616,121.324582888,-44863.6567867,1
-8742657.85216,29723.1753562,877.862392072,0.031639948652,10036.6514969,6.94825961451,103.43702835,8742657.85216,1
-5988413.89727,29807.5489755,4756.22855059,0.0369885124067,11125.0974956,13.157585153,49.8417869739,-5988413.89727,1
-1376952.14512,20475.8567642,2636.89477675,0.162813581534,9058.21658895,7.96501992005,90.208882284,-1376952.14512,1
-5554274.22836,26538.8596018,6033.10232709,0.086986241999,10360.7728555,9.12114061796,39.8480343739,-5554274.22836,1
-2108820.46795,32617.6592861,1272.0735069,0.0414378127037,14906.5038022,16.7820266497,76.9772924517,2108820.46795,1
-1990935.6324,21708.611836,3070.74657581,0.043789027143,16024.4773031,4.00192835666,145.819453337,1990935.6324,1
-1363319.71314,31593.6409925,5186.07950485,0.167778529542,12113.6561581,7.79121162935,136.590654755,-1363319.71314,1
-543492.879418,23578.8617744,3934.22452402,0.0189386264744,9098.90253714,9.12479857499,92.159357771,543492.879418,1
-2298141.47829,27215.6945647,592.232295827,0.172291107848,14423.6225842,7.9721051283,140.149324153,2298141.47829,1
-1200302.05988,25833.4076953,2897.47799074,0.134184521883,15988.7833257,10.5886914464,120.963571293,-1200302.05988,1
-5546507.97044,30055.5169171,2292.96944709,0.0232998141392,14343.0018371,8.20604791221,97.8362652859,5546507.97044,1
-5992744.81825,33711.5380378,7491.36546948,0.1459598815,13037.703321,15.5389819411,81.9656930716,-5992744.81825,1
-1328768.44751,22927.9204931,5529.38261325,0.0456788867116,12194.4943757,11.9667031715,112.70935401,-1328768.44751,1
-1782290.97115,32157.6582383,3125.50816961,0.198970906818,12991.3381213,10.9461884731,143.519719422,-1782290.97115,1
-1342898.76926,25338.2979246,1098.14437928,0.149489873001,15873.4707849,11.7977662381,78.8587402124,-1342898.76926,1
-4978574.68615,26263.6863466,5596.99960383,0.0624881328335,16566.4278213,15.7884379573,66.6766998329,-4978574.68615,1
-422337.846273,20691.6023172,7271.3351607,0.100784888597,15433.9937085,4.71937590681,113.863793344,-422337.846273,1
-3380490.73496,34765.7043452,3168.44618731,0.0714354358115,8334.26170527,16.2174107012,121.042896049,-3380490.73496,1
-1368429.98558,20660.6033226,7691.7324034,0.0578141682036,16204.5268364,13.7058785332,133.566978085,-1368429.98558,1
-491377.242479,34330.4343437,5483.02634725,0.0217569280152,16300.5395157,10.1375130176,82.9190624535,491377.242479,1
-4396049.94346,22265.9837368,4757.94523163,0.165971644369,13649.9593412,8.71983523838,40.6340265073,-4396049.94346,1
-1348831.69437,31558.8536471,874.139450856,0.069548547701,11223.4578891,11.3253969106,79.8751396055,1348831.69437,1
