like,pardischarge,parthickness,parporosity,parage,pardelT,parflux,simulation0,chain
533752.355884,31521.1278209,7998.70241611,0.0865806720979,10642.7434972,3.82233029823,118.403278388,-533752.355884,1
-6602468.34734,33074.2524435,6498.19085748,0.0662919270297,12602.424607,14.4126732792,63.0067429237,-6602468.34734,1
-3348573.85685,28106.6281892,5560.91228477,0.1681113535,9266.7969836,14.1386036823,109.621929533,-3348573.85685,1
-7187401.78529,28858.9327107,3817.11469376,0.155489328496,10496.426762,16.4786556296,61.8142485149,-7187401.78529,1
-1427443.83464,20179.4204146,7067.24082996,0.0719148720974,11405.0851162,9.91609090865,106.482661148,-1427443.83464,1
-1802859.76335,21981.5094997,7357.05524431,0.0129006734017,14585.5323971,3.94027618025,55.0184727962,1802859.76335,1
-545133.162478,26594.5867179,3309.28671993,0.17848568649,16178.1911488,5.23003199819,109.277339907,-545133.162478,1
-3490875.2587,34416.6678864,643.658807666,0.120880467133,14383.7789692,11.7281225438,140.642453547,3490875.2587,1
-3690508.23585,31745.559335,7410.17696842,0.0509987184455,9435.44962442,15.0012151282,106.28725342,-3690508.23585,1
-8032198.37145,32197.3816303,2793.23725996,0.174033569662,11628.1256609,16.7872782424,61.4402102746,-8032198.37145,1
-4388664.6938,32406.6245243,6517.71416646,0.0508346810822,16507.3308133,17.3545656482,93.7377015263,-4388664.6938,1
-2244497.66032,32563.3528149,7778.53501084,0.0466063303129,15751.5767577,15.1166224072,134.59590028,-2244497.66032,1
-511071.062561,29827.3178168,2812.47356057,0.0436857241707,8390.94366813,4.70702164316,92.059736321,511071.062561,1
-279102.164088,20089.4190351,1521.57899327,0.0768215325409,9744.8064333,8.40013923541,120.980085395,279102.164088,1
-4387421.48668,22094.8311742,2405.62650044,0.130867371955,13342.2812249,15.166123258,62.9786658223,-4387421.48668,1
-1157890.52651,31160.18472,1112.86229539,0.108072715118,8371.8140161,11.9010968325,111.531738912,-1157890.52651,1
-2757746.83108,31994.2732631,5508.99618839,0.0449861683863,8401.24060413,5.34088181614,44.4981355417,-2757746.83108,1
-2579512.3987,20178.4672302,682.177135926,0.0736629278843,12005.9736711,15.3588580697,138.343087557,2579512.3987,1
-5759127.06225,27060.2373624,6185.2388919,0.0840171661231,14217.8830342,12.9358302391,53.888806525,-5759127.06225,1
-3498454.51793,30044.4887363,5433.5486307,0.083714145956,13311.6750244,16.2230924259,111.404594285,-3498454.51793,1
-2440520.1384,21171.8182903,5312.55313245,0.126111922497,12956.4416162,13.9046877896,103.35537879,-2440520.1384,1
-4664917.62503,27847.0710384,4984.41427383,0.135107656331,12245.5295505,13.1096751185,70.6358019078,-4664917.62503,1
-3424985.24213,31125.3187359,2468.09210237,0.0806777210863,10441.8213875,10.5078312177,64.7096599464,-3424985.24213,1
-1886533.41221,21092.6274183,2658.18092629,0.108454613374,11496.9327714,16.9910607724,131.463985653,-1886533.41221,1
-204053.380798,22563.0258233,5939.83464299,0.0144309191989,12197.0769521,15.3189323351,115.029988592,204053.380798,1
-221537.935106,26751.6556243,1502.43044322,0.199944730984,8658.05997801,3.9199122501,105.711391962,-221537.935106,1
-1370238.45333,34546.7391546,4918.3017904,0.0802710513705,8928.05450968,6.05433533348,97.271641164,-1370238.45333,1
-3362695.42566,28177.4549944,5338.55822672,0.0748616972092,13041.9829589,12.6226909716,83.1068302328,-3362695.42566,0
-3812961.26914,26722.1850436,4327.49285621,0.121545652777,11499.4122871,13.2102173484,80.3266781288,-3812961.26914,0
-512105.490367,28122.6744698,5274.53893851,0.0356134195975,13781.150633,7.70403341193,139.760583728,512105.490367,0
-3376009.23362,22090.6782398,2990.84236488,0.0654183551756,13004.6766705,17.0309860611,77.7084808411,-3376009.23362,0
-157766.709741,24413.8672587,5132.77264219,0.109386009163,11654.7825249,3.76462777251,138.381820419,-157766.709741,0
-1979277.85336,26958.3920234,5012.37453756,0.0756129563251,13318.3874534,11.5191043187,106.169141823,-1979277.85336,0
-1768722.77896,29212.1789085,6042.11328262,0.0678871780805,13877.5632974,11.7489087864,124.557118248,-1768722.77896,0
-596612.986636,22069.6571821,2719.01083306,0.0724679839748,12514.781843,11.375932446,125.708901348,-596612.986636,0
-1613226.79374,34113.3431761,5028.91315241,0.0623106220074,15935.0641676,12.1391017299,123.759187485,-1613226.79374,0
-218107.542147,24655.927395,5269.62848626,0.103731306934,12349.8475222,4.32114375219,137.525267181,-218107.542147,0
-1470276.16217,25130.3135698,2564.06057824,0.0599950062977,16309.1141765,6.44586621935,135.741886768,1470276.16217,0
-399599.793431,27387.7856694,3527.1523016,0.0420487912633,13150.7500756,6.5372580044,63.3456296809,-399599.793431,0
-508305.073064,24808.8239961,5282.36076753,0.0262183651996,10364.9595757,7.09335659603,130.585428719,508305.073064,0
-150593.701254,23302.6979973,692.125773281,0.136396094826,8810.54702716,4.85699035968,48.6996651391,-150593.701254,1
-2341310.23227,29764.4173995,4537.69268185,0.0410182896182,12318.3441155,10.1104653717,69.843212265,-2341310.23227,1
-1049969.80697,23563.3000716,2869.33733377,0.132279816349,8910.49144993,7.19897124981,105.873049878,-1049969.80697,1
-3476505.90641,22475.1653433,6536.22724462,0.129147161765,11175.6528706,8.64149741149,51.49142412,-3476505.90641,1
-1234102.45734,21904.2615418,1769.0104451,0.185017968803,13841.1567876,14.5138062678,147.239641859,-1234102.45734,1
-2109216.44674,24415.0532242,5770.47516001,0.120371708145,8532.94901153,10.8499073187,110.020097181,-2109216.44674,1
-2274781.11213,33622.512288,1420.63504854,0.176289318046,14370.8282638,5.57327061628,44.598387366,-2274781.11213,1
-2409200.08707,25932.8066561,5135.93471725,0.0808436717758,14402.5170238,9.78517047334,76.7372762602,-2409200.08707,1
-1985717.32865,27995.6396101,3407.12781405,0.0866332233129,10876.2945985,9.2842939085,86.1934620804,-1985717.32865,1
-1039221.3563,20134.642962,1526.82242369,0.183300441754,9984.90396705,11.4153585552,130.849566144,-1039221.3563,1
-928726.979427,29085.2396263,4586.37590056,0.137908134091,14512.5948698,4.81430200705,87.7812754965,-928726.979427,1
-1594606.73876,24564.209214,3093.00028404,0.108584499357,8971.58961268,13.5032488105,147.454467774,-1594606.73876,1
-1579488.54447,27373.4804818,7303.87901422,0.179615055324,14946.2170006,9.71352171885,140.664959167,-1579488.54447,1
-1460739.84323,20779.2118873,3281.80877097,0.125852468029,15001.9801764,13.0019097093,122.016411976,-1460739.84323,0
-1123933.37276,20666.3565456,3583.75074846,0.0361941432355,11714.4228084,4.46199080854,124.267413284,1123933.37276,0
-2152573.17806,26041.6161834,5182.95487386,0.16508409754,12131.250686,13.8909932903,143.529965864,-2152573.17806,0
-306965.702728,25093.6376658,2937.41560136,0.0676009497475,14024.7180616,6.64895187209,113.927591128,306965.702728,0
-52616.6409519,22974.2940643,3284.22916443,0.0713393359935,11942.1566744,5.77366847257,108.46634051,-52616.6409519,0
-8507.39927173,34540.2296633,4433.22654011,0.0181402223887,10561.9515089,7.93184722762,60.3157361669,-8507.39927173,0
-415640.597864,27849.1206449,2972.0086274,0.0641638831802,9711.68101758,6.05770269801,92.0424276186,-415640.597864,0
-706229.962531,20287.6733855,905.163692596,0.129026415784,12470.9425156,5.06380567153,70.4006378004,706229.962531,0
-746747.771203,24060.3384996,5373.43165644,0.0735457732475,9900.2449892,5.33533785647,95.1793364662,-746747.771203,0
-804312.548416,21645.7329743,1296.48639689,0.115460977224,11786.2699732,4.32826299857,104.160288168,804312.548416,0
-1233199.06014,31179.7829691,2210.04565205,0.0939610598917,8343.26824743,4.56131803737,57.2433449811,-1233199.06014,0
-2094654.79942,23485.080386,7361.13156884,0.13154297438,13603.5750169,9.37689251311,90.8790421232,-2094654.79942,0
-624546.059841,20757.8914537,3302.71927384,0.0845865619258,12539.6859755,9.63130983212,128.537404957,-624546.059841,0
-1247961.65386,25338.8090531,4968.96760946,0.081986846058,12454.254505,9.44410307571,118.38334819,-1247961.65386,1
-1093602.61336,26961.1555344,1232.61342411,0.12044877893,11702.7581964,5.88874982389,153.995449519,1093602.61336,1
-1063926.0802,27432.2052864,2557.07300198,0.0986256138247,9842.61122939,9.50877002653,122.272765422,-1063926.0802,1
-827782.044238,25372.8647299,3078.03153785,0.0908255610791,10649.6764459,8.946882013,126.587202087,-827782.044238,1
-44520.9471705,21156.5870478,2179.14982954,0.111786718597,10889.1698028,6.2163086487,146.018726548,44520.9471705,1
-164622.290454,23036.3143866,5541.12229451,0.0622423734094,13201.8875213,4.54491886278,146.073040561,164622.290454,1
-497365.296195,20248.073197,7077.89439774,0.0202406939052,11509.4939673,6.68571168523,119.937778938,497365.296195,1
-1881490.17346,32004.4762,4814.21190113,0.0819383310776,12563.9923605,10.1264097593,111.787460567,-1881490.17346,1
-442044.465936,22457.0732073,3586.76017451,0.0709082209218,12155.8318284,8.79761119104,130.45045364,-442044.465936,1
-231881.109427,21441.4689594,5474.86490056,0.0546933604164,11587.7741197,6.3465849645,128.254672281,-231881.109427,1
-1195827.33906,30337.1263402,2243.0305209,0.171071955288,8905.10351346,5.12751986008,81.9236664829,-1195827.33906,1
-144114.180633,23453.9728226,4594.20111998,0.0535957005205,10952.000807,6.71919418759,132.805947597,-144114.180633,1
-1131255.06777,25351.8133996,5521.19792148,0.136385511689,13315.850547,8.62123167165,138.450024986,-1131255.06777,1
-688739.144964,22581.3612634,1708.24304369,0.0946773163655,13723.3800886,6.91297901422,127.261993493,688739.144964,0
