Param,ParamGroup,ProjectId,ResultStatus,ResultValue,SampleDate,SampleId,SampMedia,StationId,Unit,USGSPCode
Calcium,"Inorganics, Major, Metals",USGS,Historical,108,1/11/1926 0:00,nwisaz.01.92600001,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,100,2/25/1926 0:00,nwisaz.01.92600002,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,66,3/26/1926 0:00,nwisaz.01.92600003,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,49,5/24/1926 0:00,nwisaz.01.92600004,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,38,6/1/1926 0:00,nwisaz.01.92600005,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,46,6/7/1926 0:00,nwisaz.01.92600006,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,36,6/13/1926 0:00,nwisaz.01.92600007,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,39,6/20/1926 0:00,nwisaz.01.92600008,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,58,7/10/1926 0:00,nwisaz.01.92600009,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,61,7/11/1926 0:00,nwisaz.01.92600010,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,133,10/12/1926 0:00,nwisaz.01.92700001,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,109,12/7/1926 0:00,nwisaz.01.92700002,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,105,2/24/1927 0:00,nwisaz.01.92700003,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,93,3/26/1927 0:00,nwisaz.01.92700004,Surface Water,USGS-09380000,mg/l,915
